question,option_a,option_b,option_c,option_d,answer
What is a Critical Section in process synchronization?,Segment of code accessing shared resources that must not be concurrently accessed by multiple processes,Kernel boot code segment,Interrupt handler routine,Swap space on hard drive,A
What three criteria must any solution to critical section problem satisfy?,"Mutual Exclusion, Progress, Bounded Waiting","Atomicity, Consistency, Durability","Speed, Memory, Fairness","Liveness, Safety, Isolation",A
What is a Semaphore?,An integer variable used for process synchronization accessed via wait() / P() and signal() / V() operations,A physical hardware flag,A file permission mode,A CPU pipeline stage,A
What is the difference between Binary Semaphore and Mutex?,Mutex includes ownership (only locking thread can unlock); Binary Semaphore has no ownership concept,They are 100% identical,Semaphore is hardware; Mutex is software,Mutex allows count > 1,A
What is a Deadlock in operating systems?,Set of processes blocked because each holds a resource and waits for another resource held by another process,A process stuck in infinite loop,A system crash due to power loss,A hardware memory failure,A
What are the 4 necessary Coffman conditions for a Deadlock to occur?,"Mutual Exclusion, Hold & Wait, No Preemption, Circular Wait","Atomicity, Consistency, Isolation, Durability","Read, Write, Execute, Modify","Paging, Swapping, Fragmentation, Thrashing",A
Which famous algorithm is used for Deadlock Avoidance in OS?,Banker's Algorithm,Dijkstra's Algorithm,Peterson's Algorithm,Round Robin Algorithm,A
What does Banker's Algorithm check before allocating resources?,Whether allocating resources leaves system in a Safe State,Whether CPU temperature is normal,If process priority is high,If disk has enough space,A
What is a Safe State in deadlock avoidance?,A state where there exists at least one execution sequence allowing all processes to complete without deadlock,System running in Kernel Mode,All processes holding zero resources,Memory fully defragmented,A
What are the 3 main approaches to handle deadlocks?,"Deadlock Prevention/Avoidance, Detection & Recovery, or Ignoring (Ostrich algorithm)","Rebooting, Format disk, Upgrade RAM","Increasing time quantum, Aging, Paging","Disabling threads, Using C++, Virtualization",A
What is Logical Address Space vs Physical Address Space?,Logical address is generated by CPU (virtual); Physical address is actual address loaded into memory unit (RAM),Logical is disk space; Physical is RAM,Logical is register; Physical is cache,They are always identical numbers,A
What hardware component translates Virtual/Logical addresses to Physical addresses at runtime?,Memory Management Unit (MMU),ALU,Control Unit,Direct Memory Access (DMA) controller,A
What is Paging in memory management?,Memory management scheme dividing physical memory into fixed-size frames and logical memory into pages,Swapping full processes to disk,Variable size memory partitioning,Deleting cache contents,A
What is a Page Table?,Data structure maintained by OS for each process mapping virtual page numbers to physical frame numbers,A table of hardware interrupts,A disk partition sector map,A CPU instruction set list,A
What is Translation Lookaside Buffer (TLB)?,High-speed hardware memory cache storing recent page table translations to speed up MMU lookups,A secondary page table on SSD,A buffer for disk writes,A CPU register for stack pointer,A
What is Internal Fragmentation?,Unused allocated memory space inside an assigned page or block,Unused memory space between non-contiguous allocated blocks,Corrupted disk sector memory,Fragmentation in CPU cache lines,A
What is External Fragmentation?,"Total free memory is enough to satisfy request, but memory is non-contiguous, so allocation fails",Unused space inside allocated page,Virtual address table overflow,Stack frame leak,A
How does Segmentation differ from Paging?,"Segmentation divides memory into variable-sized logical units (code, stack, data); Paging uses fixed-size pages",Segmentation is hardware only; Paging is software,Paging causes external fragmentation; Segmentation causes none,Segmentation is obsolete in 64-bit systems,A
What is Virtual Memory?,Technique allowing execution of processes that are not completely loaded into physical RAM,Memory stored on USB flash drives,RAM allocated for virtual machines only,Cache memory inside CPU,A
What is Demand Paging?,Loading pages into RAM only when they are accessed/needed during execution,Loading entire process into RAM at start,Pre-allocating swap space on startup,Paging initiated by user code,A
What occurs when a process attempts to access a page that is not currently loaded in RAM?,Page Fault,Segmentation Fault,General Protection Fault,Deadlock,A
What step occurs during Page Fault handling?,"OS traps to kernel, locates page on disk/swap, finds free frame in RAM, loads page, and resumes instruction",OS terminates process immediately,OS reboots system,OS sends signal to monitor,A
What is Thrashing in virtual memory?,High paging activity where OS spends more time swapping pages in/out than executing process code,Physical hard disk crash,CPU running at 100% capacity on loops,Corrupted page table entries,A
What causes Thrashing?,Process size exceeding allocated frames such that sum of working sets > total physical memory,Fast CPU speed,Low network bandwidth,Using SSD instead of HDD,A
What is FIFO Page Replacement Algorithm?,Replaces the page that was brought into memory earliest,Replaces page used least recently,Replaces page that will not be used for longest time in future,Replaces randomly selected page,A
What is Belady's Anomaly?,"For some page replacement algorithms (like FIFO), page fault rate may increase when allocated frames increase",Page faults causing deadlock,Virtual memory running out of space,LRU executing slower than FIFO,A
Does Least Recently Used (LRU) page replacement algorithm suffer from Belady's Anomaly?,"No, LRU belongs to stack algorithms class which never suffers from Belady's Anomaly","Yes, always",Only when frame count is odd,Only in 32-bit systems,A
What is the Optimal Page Replacement Algorithm (OPT)?,Replaces page that will not be used for longest duration in future (theoretical baseline),Replaces page used most recently,Replaces smallest page,Replaces page with highest dirty bit,A
What is a Dirty Bit (Modify Bit) in page table entry?,"A flag indicating whether page has been modified since loaded into RAM, requiring write-back to disk",A bit indicating page corruption,A bit locking page against reads,A bit used for encryption,A
What is spooling (Simultaneous Peripheral Operations On-Line)?,Data held in intermediate buffer/disk area enabling devices operating at different speeds to process data (e.g. print queue),Swapping RAM to SSD,Parallel thread scheduling,CPU cache pre-fetching,A
What is Direct Memory Access (DMA)?,Feature allowing I/O hardware devices to transfer data directly to/from RAM without continuous CPU intervention,CPU writing directly to video card,User app writing directly to disk sectors,Bypassing RAM to write to L1 cache,A
What is an Interrupt Vector Table (IVT)?,Array of memory addresses holding pointers to Interrupt Service Routines (ISRs),A list of running processes,A table of page allocations,A file system block directory,A
What is a Trap in OS context?,A software-generated interrupt caused by error (e.g. divide by zero) or system call request,A virus program catching credentials,A hardware failure signal,A locked mutex condition,A
What is a File Allocation Table (FAT)?,File system structure mapping files to clusters on disk drive using a linked table,An OS thread scheduling table,A virtual memory page table,A user access control matrix,A
"In UNIX file system, what is an inode?","Data structure storing metadata about a file (size, owner, permissions, block pointers) except filename",The physical disk block containing file text,A user account identifier,A process table entry,A
What is symbolic link (symlink) vs hard link in UNIX?,Symlink points to file path; Hard link points directly to underlying inode number,Hard link works across different file systems; Symlink does not,Deleting target file breaks hard link but keeps symlink,They are identical,A
What disk scheduling algorithm services disk requests in order they arrive?,FCFS (First-Come First-Served),SSTF (Shortest Seek Time First),SCAN (Elevator),C-SCAN,A
What disk scheduling algorithm selects request with minimum seek time from current head position?,SSTF (Shortest Seek Time First),FCFS,SCAN,C-LOOK,A
What is SCAN (Elevator) disk scheduling algorithm?,"Disk head moves from one end of disk to other, servicing requests along way, then reverses direction",Head moves randomly servicing shortest requests,Head jumps back to start without servicing on return,Head stays on track 0,A
What is C-SCAN (Circular SCAN) disk scheduling?,"Head moves from one end to other servicing requests, then returns immediately to start without servicing on return trip",Services requests in circular ring buffer,Bounces back and forth like elevator,Services highest priority requests first,A
What is RAID 0?,Disk striping offering high performance but zero redundancy / fault tolerance,Disk mirroring with 100% redundancy,Block-level striping with distributed parity,Dual parity striping,A
What is RAID 1?,Disk mirroring providing full data redundancy by duplicating data on two or more disks,Disk striping with no fault tolerance,Block striping with parity,Dedicated parity disk,A
What is RAID 5?,Block-level striping with distributed parity requiring at least 3 disks,Disk mirroring only,Dedicated single parity disk with non-striped data,Striping without parity,A
What is the minimum number of disks required for RAID 5?,3,2,4,5,A
What is RAID 10 (1+0)?,"Combination of RAID 1 (mirroring) and RAID 0 (striping), offering high speed and fault tolerance",RAID 1 with 10 disks,RAID 5 with dual parity,Single disk striping,A
What is a Monolithic Kernel?,"Kernel architecture where all OS services (filesystem, drivers, IPC, memory) run in single kernel address space",Kernel where each service runs as isolated user space process,A kernel designed for single-core CPUs only,A kernel stored in read-only BIOS memory,A
What is a Microkernel?,"Kernel architecture keeping only minimum essential services (IPC, basic memory, scheduling) in kernel space; rest in user space",A monolithic kernel under 1 MB in size,A kernel running inside web browser,A firmware bootloader,A
What is advantage of Microkernel over Monolithic Kernel?,"Higher modularity, stability, and security (driver crash does not bring down entire kernel)",Faster execution speed due to zero IPC overhead,Uses less disk space always,Easier to compile,A
What is fork() system call in UNIX?,Creates a new child process which is an exact duplicate of calling parent process,Executes a new binary program in current process space,Terminates current process,Creates a kernel thread,A
What value does fork() return to the parent process on success?,Process ID (PID) of the newly created child process,0,-1,1,A
What value does fork() return to the newly created child process?,0,PID of parent,-1,PID of child,A
What is exec() family system call in UNIX?,Replaces current process image with a new process image loaded from an executable file,Creates a child process,Sends signal to process,Allocates memory on heap,A
What is an Orphan Process in UNIX?,"A process whose parent process has terminated, now adopted by init / systemd (PID 1)",A process that has finished execution but entry remains in process table,A process stuck in infinite wait,A process with no PID,A
What is a Zombie Process in UNIX?,A process that has completed execution but whose exit status has not yet been read by parent via wait(),A process running on dead CPU core,A process causing high CPU usage,An orphan process,A
How do parent processes clean up zombie child processes?,By invoking wait() or waitpid() system call to read exit status,By calling fork() again,By restarting OS,By clearing page table,A
What is spinlock?,A lock where thread continuously loops (busily waits) checking if lock is available,A lock that sleeps thread immediately,A disk controller lock,A hardware interrupt vector,A
When is a spinlock preferred over a sleeping lock?,"When expected lock hold time is extremely short, avoiding context switch overhead",When lock will be held for hours,On single-core CPUs strictly,During file download operations,A
What is Priority Inversion?,"Scenario where lower priority process holds resource needed by higher priority process, delaying high priority task",High priority process executing before low priority,CPU priority changing randomly,Priority scheduling degenerating into FCFS,A
How is Priority Inversion solved?,Priority Inheritance Protocol (low priority thread holding resource temporarily inherits high priority),Aging,Round Robin scheduling,Disabling virtual memory,A
What is Readers-Writers Problem?,"Classic synchronization problem where multiple readers can read concurrently, but writer requires exclusive access",Concurrency issue between CPU and disk,Deadlock between 2 threads writing to same file,Cache coherence protocol,A
What is Dining Philosophers Problem used to illustrate?,"Synchronization challenges, deadlock, and resource starvation in concurrent systems",Memory fragmentation in paging,Disk seek time optimization,Network packet routing,A
What is a Mutex?,Mutual exclusion lock allowing only one thread to hold lock and access critical section at a time,A multi-counter semaphore,A CPU scheduling queue,An OS memory page,A
What is inter-process communication (IPC)?,Mechanisms provided by OS allowing independent processes to communicate and synchronize actions,Communication between two CPU cores,Communication between RAM and Cache,Sending data across Ethernet cables,A
What are common IPC mechanisms in operating systems?,"Pipes, Named Pipes (FIFO), Message Queues, Shared Memory, and Sockets","Paging, Swapping, Segmentation","FCFS, SJF, Round Robin","RAID, FAT, Ext4",A
Which IPC mechanism provides the fastest data exchange between processes on same machine?,Shared Memory (no system calls required during data transfer once mapped),Pipes,Message Queues,Sockets,A
What is a Pipe in UNIX?,Unidirectional data channel allowing stdout of one process to connect to stdin of another process,A hardware bus wire,A file permission flag,A socket connection across internet,A
What is copy-on-write (COW) during process creation (fork)?,Pages are shared between parent and child read-only; physical page copied only when either process writes to it,Copying full process memory during fork instantly,Writing data to swap space before RAM,Copying disk sectors to cache,A
What is a Memory Leak in operating systems?,"Failure of a process to free dynamically allocated heap memory after use, reducing available RAM",Page fault occurring in kernel,Corrupted RAM hardware sector,Swap file deletion error,A
What is overlay technique in memory management?,"Keeps only instructions/data needed at a given time in memory, loading others over old ones as needed",Virtual memory paging,Segmentation scheme,Swapping full processes,A
What is Kernel Mode vs User Mode?,Kernel Mode has unrestricted access to hardware/instructions; User Mode has restricted access to protect system,Kernel mode is slower; User mode is faster,Kernel mode runs apps; User mode runs OS drivers,Kernel mode is 32-bit; User mode is 64-bit,A
What is a System Bootloader (e.g. GRUB)?,Initial program loaded from ROM/NVRAM that initializes hardware and loads OS kernel into RAM,OS system call library,CPU instruction decoder,Disk partition utility,A
What is BIOS / UEFI?,Firmware initializing hardware during boot process and launching bootloader,OS kernel executable,Virtual memory manager,File system layout,A
What is Thrashing Prevention Working-Set Model?,Tracks set of pages process actively referenced in recent time window to allocate sufficient frames,Limits total process count to 2,Disables swap partition completely,Uses FIFO page replacement exclusively,A
What is slab allocation in Linux kernel?,Memory management mechanism efficiently allocating small kernel data structures avoiding fragmentation,Disk partition allocation,User process heap allocator,Page replacement scheme,A
What is NUMA (Non-Uniform Memory Access)?,Multiprocessor architecture where memory access time depends on memory location relative to processor,Single-core CPU memory bus,Uniform memory access scheme,Virtual memory paging method,A
What is real-time operating system (RTOS)?,OS designed to serve real-time applications processing data with minimal delay and strict deterministic deadlines,OS running on supercomputers only,OS with high throughput graphical UI,OS for web servers,A
What is Hard Real-Time vs Soft Real-Time system?,Hard real-time guarantees strict completion deadlines (failure is catastrophic); Soft real-time prioritizes deadlines but tolerates occasional delay,Hard is hardware-based; Soft is virtualized,Hard real-time runs on Linux; Soft on Windows,There is no functional difference,A
What is a Device Driver?,Specialized software module operating or controlling a particular hardware device attached to computer,Hardware chip on motherboard,A system call interface,An application for monitoring CPU temp,A
What is Context Switch Latency?,Time taken by OS kernel to stop one process/thread and resume another process/thread,Time to read file from SSD,Network ping delay,Time to allocate page table,A
What is an Operating System Shell?,User interface program that interprets commands and launches processes,Kernel memory allocator,CPU scheduling queue,Hardware driver manager,A
